county,municipality,dem_registered,rep_registered,green_registered,lib_registered,unenrolled_registered,total_registered
LIN,DAMARISCOTTA,720.0,355.0,67.0,6.0,464.0,1612
LIN,DRESDEN,359.0,453.0,51.0,14.0,414.0,1291
LIN,EDGECOMB,399.0,256.0,37.0,2.0,276.0,970
LIN,JEFFERSON,501.0,723.0,71.0,12.0,614.0,1921
LIN,MONHEGAN ISLAND PLT,42.0,6.0,5.0,1.0,14.0,68
LIN,NEWCASTLE,694.0,338.0,61.0,6.0,421.0,1520
LIN,NOBLEBORO,508.0,495.0,58.0,7.0,432.0,1500
LIN,SOMERVILLE,78.0,159.0,24.0,2.0,130.0,393
LIN,SOUTH BRISTOL,312.0,211.0,21.0,1.0,267.0,812
LIN,SOUTHPORT,190.0,165.0,10.0,2.0,141.0,508
LIN,WALDOBORO,966.0,1228.0,117.0,12.0,1051.0,3374
LIN,WESTPORT ISLAND,215.0,181.0,21.0,3.0,196.0,616
LIN,WHITEFIELD,447.0,560.0,76.0,5.0,503.0,1591
LIN,WISCASSET,762.0,847.0,98.0,10.0,867.0,2584
OXF,ALBANY TWP,91.0,122.0,18.0,1.0,135.0,367
OXF,ANDOVER,114.0,227.0,25.0,0.0,215.0,581
OXF,BETHEL,593.0,533.0,45.0,8.0,784.0,1963
OXF,BROWNFIELD,297.0,336.0,77.0,7.0,435.0,1152
OXF,BUCKFIELD,232.0,499.0,42.0,11.0,564.0,1348
OXF,BYRON,25.0,46.0,8.0,0.0,35.0,114
OXF,CANTON,121.0,252.0,27.0,7.0,187.0,594
OXF,DENMARK,247.0,317.0,33.0,1.0,303.0,901
OXF,DIXFIELD,253.0,528.0,84.0,6.0,537.0,1408
OXF,FRYEBURG,729.0,639.0,103.0,8.0,802.0,2281
OXF,GILEAD,35.0,47.0,7.0,0.0,49.0,138
OXF,GREENWOOD,179.0,173.0,18.0,1.0,260.0,631
OXF,HANOVER,62.0,69.0,3.0,1.0,83.0,218
OXF,HARTFORD,171.0,334.0,44.0,1.0,248.0,798
OXF,HEBRON,193.0,310.0,54.0,11.0,316.0,884
OXF,HIRAM,255.0,412.0,23.0,3.0,369.0,1062
OXF,LINCOLN PLT,6.0,13.0,5.0,1.0,13.0,38
OXF,LOVELL,274.0,252.0,29.0,1.0,337.0,893
OXF,MAGALLOWAY TWP,3.0,7.0,1.0,1.0,10.0,22
OXF,MEXICO,401.0,395.0,52.0,8.0,512.0,1368
OXF,NEWRY,82.0,80.0,14.0,0.0,119.0,295
OXF,NORWAY,969.0,1075.0,157.0,15.0,1050.0,3266
OXF,OTISFIELD,347.0,490.0,65.0,8.0,421.0,1331
OXF,OXFORD,477.0,1124.0,102.0,21.0,926.0,2650
OXF,PARIS,758.0,1224.0,174.0,17.0,981.0,3154
OXF,PERU,222.0,321.0,38.0,6.0,360.0,947
OXF,PORTER,196.0,383.0,37.0,9.0,393.0,1018
OXF,ROXBURY,64.0,92.0,16.0,2.0,103.0,277
OXF,RUMFORD,878.0,971.0,106.0,18.0,1010.0,2983
OXF,STONEHAM,56.0,72.0,7.0,0.0,83.0,218
OXF,STOW,76.0,79.0,20.0,0.0,87.0,262
OXF,SUMNER,137.0,222.0,37.0,4.0,243.0,643
OXF,SWEDEN,85.0,81.0,22.0,0.0,115.0,303
OXF,UPTON,7.0,32.0,1.0,0.0,25.0,65
OXF,WATERFORD,296.0,423.0,42.0,3.0,350.0,1114
OXF,WEST PARIS,263.0,418.0,22.0,3.0,396.0,1102
OXF,WOODSTOCK,235.0,378.0,66.0,4.0,327.0,1010
PEN,ALTON,136.0,234.0,23.0,11.0,158.0,562
PEN,BANGOR,6422.0,4615.0,473.0,160.0,5415.0,17085
PEN,BRADFORD,112.0,363.0,27.0,7.0,256.0,765
PEN,BRADLEY,279.0,379.0,47.0,18.0,279.0,1002
PEN,BREWER,1700.0,2074.0,217.0,39.0,1587.0,5617
PEN,BURLINGTON,43.0,143.0,11.0,1.0,87.0,285
PEN,CARMEL,318.0,922.0,67.0,13.0,610.0,1930
PEN,CARROLL PLT,8.0,57.0,5.0,1.0,29.0,100
PEN,CHARLESTON,113.0,451.0,14.0,3.0,250.0,831
PEN,CHESTER,51.0,227.0,16.0,0.0,88.0,382
PEN,CLIFTON,117.0,246.0,22.0,3.0,193.0,581
PEN,CORINNA,221.0,648.0,77.0,9.0,370.0,1325
PEN,CORINTH,268.0,930.0,48.0,4.0,461.0,1711
PEN,DEXTER,465.0,943.0,87.0,15.0,616.0,2126
PEN,DIXMONT,186.0,346.0,17.0,6.0,235.0,790
PEN,DREW TWP,3.0,6.0,4.0,1.0,4.0,18
PEN,EAST MILLINOCKET,305.0,424.0,45.0,2.0,201.0,977
PEN,EDDINGTON,330.0,692.0,76.0,14.0,429.0,1541
PEN,EDINBURG,33.0,52.0,4.0,2.0,42.0,133
PEN,ENFIELD,234.0,440.0,22.0,0.0,262.0,958
PEN,ETNA,176.0,353.0,23.0,5.0,200.0,757
PEN,EXETER,109.0,297.0,8.0,2.0,184.0,600
PEN,GARLAND,128.0,326.0,23.0,4.0,215.0,696
PEN,GLENBURN,692.0,1257.0,112.0,17.0,944.0,3022
PEN,GREENBUSH,136.0,346.0,27.0,25.0,265.0,799
PEN,HAMPDEN,1581.0,2053.0,174.0,55.0,1558.0,5421
PEN,HERMON,946.0,1962.0,113.0,20.0,1312.0,4353
PEN,HOLDEN,579.0,921.0,103.0,14.0,646.0,2263
PEN,HOWLAND,175.0,299.0,22.0,6.0,198.0,700
PEN,HUDSON,186.0,416.0,36.0,4.0,302.0,944
PEN,KENDUSKEAG,151.0,396.0,37.0,3.0,257.0,844
PEN,KINGMAN TWP,5.0,50.0,4.0,2.0,17.0,78
PEN,LAGRANGE,73.0,171.0,14.0,10.0,122.0,390
PEN,LAKEVILLE,19.0,38.0,4.0,0.0,29.0,90
PEN,LEE,82.0,314.0,22.0,5.0,180.0,603
PEN,LEVANT,301.0,965.0,76.0,6.0,551.0,1899
PEN,LINCOLN,589.0,1392.0,75.0,16.0,905.0,2977
PEN,LOWELL,51.0,159.0,13.0,1.0,71.0,295
PEN,MATTAWAMKEAG,115.0,181.0,15.0,2.0,138.0,451
PEN,MAXFIELD,10.0,46.0,4.0,2.0,20.0,82
PEN,MEDWAY,171.0,356.0,36.0,2.0,221.0,786
PEN,MILFORD,613.0,674.0,88.0,36.0,604.0,2015
PEN,MILLINOCKET,868.0,921.0,68.0,10.0,920.0,2787
PEN,MOUNT CHASE,32.0,80.0,8.0,0.0,41.0,161
PEN,NEWBURGH,250.0,450.0,32.0,11.0,371.0,1114
PEN,NEWPORT,425.0,973.0,44.0,17.0,552.0,2011
PEN,OLD TOWN,1661.0,1168.0,176.0,116.0,1392.0,4513
PEN,ORONO,2678.0,1019.0,251.0,65.0,1993.0,6006
PEN,ORRINGTON,666.0,1160.0,145.0,16.0,790.0,2777
PEN,PASSADUMKEAG,40.0,131.0,12.0,2.0,75.0,260
PEN,PATTEN,89.0,271.0,21.0,1.0,169.0,551
PEN,PENOBSCOT NATION VOTING DISTRICT,195.0,26.0,16.0,9.0,92.0,338
PEN,PLYMOUTH,135.0,410.0,24.0,10.0,256.0,835
PEN,PRENTISS TWP T7 R3 NBPP,16.0,59.0,9.0,0.0,28.0,112
PEN,SEBOEIS PLT,10.0,15.0,0.0,0.0,7.0,32
PEN,SPRINGFIELD,30.0,107.0,2.0,1.0,67.0,207
PEN,STACYVILLE,29.0,111.0,4.0,1.0,73.0,218
PEN,STETSON,129.0,409.0,41.0,3.0,261.0,843
PEN,VEAZIE,445.0,386.0,44.0,11.0,365.0,1251
PEN,WEBSTER PLT,13.0,21.0,1.0,0.0,12.0,47
PEN,WINN,49.0,116.0,6.0,1.0,64.0,236
PEN,WOODVILLE,17.0,92.0,6.0,0.0,42.0,157
PIS,ABBOT,80.0,213.0,20.0,5.0,118.0,436
PIS,ATKINSON TWP,28.0,83.0,10.0,0.0,52.0,173
PIS,BEAVER COVE,23.0,48.0,5.0,0.0,48.0,124
PIS,BOWERBANK,21.0,70.0,2.0,0.0,43.0,136
PIS,BROWNVILLE,188.0,337.0,26.0,4.0,315.0,870
PIS,DOVER-FOXCROFT,581.0,1154.0,92.0,11.0,794.0,2632
PIS,GREENVILLE,257.0,554.0,30.0,1.0,415.0,1257
PIS,GUILFORD,162.0,369.0,35.0,4.0,237.0,807
PIS,KINGSBURY PLT,6.0,14.0,3.0,0.0,10.0,33
PIS,LAKE VIEW PLT,27.0,76.0,4.0,0.0,42.0,149
PIS,MEDFORD,31.0,90.0,6.0,2.0,69.0,198
PIS,MILO,322.0,539.0,58.0,10.0,472.0,1401
PIS,MONSON,104.0,223.0,23.0,5.0,195.0,550
PIS,PARKMAN,95.0,232.0,15.0,3.0,183.0,528
PIS,SANGERVILLE,164.0,400.0,33.0,8.0,290.0,895
PIS,SEBEC,77.0,233.0,14.0,2.0,132.0,458
PIS,SHIRLEY,26.0,72.0,10.0,0.0,72.0,180
PIS,WELLINGTON,45.0,52.0,9.0,1.0,54.0,161
PIS,WILLIMANTIC,14.0,46.0,6.0,0.0,34.0,100
SAG,ARROWSIC,206.0,54.0,10.0,0.0,111.0,381
SAG,BATH,2653.0,1110.0,202.0,33.0,1727.0,5725
SAG,BOWDOIN,445.0,739.0,67.0,7.0,779.0,2037
SAG,BOWDOINHAM,794.0,648.0,64.0,13.0,714.0,2233
SAG,GEORGETOWN,416.0,234.0,28.0,3.0,271.0,952
SAG,PHIPPSBURG,602.0,570.0,54.0,11.0,557.0,1794
SAG,RICHMOND,627.0,823.0,145.0,24.0,697.0,2316
SAG,TOPSHAM,2769.0,1707.0,187.0,27.0,2359.0,7049
SAG,WEST BATH,519.0,452.0,59.0,7.0,515.0,1552
SAG,WOOLWICH,754.0,826.0,105.0,10.0,722.0,2417
SOM,ANSON,271.0,616.0,65.0,4.0,437.0,1393
SOM,ATHENS,135.0,237.0,17.0,1.0,192.0,582
SOM,BINGHAM,114.0,276.0,19.0,3.0,216.0,628
SOM,BRIGHTON PLT,10.0,15.0,4.0,0.0,19.0,48
SOM,CAMBRIDGE,40.0,139.0,8.0,2.0,88.0,277
SOM,CANAAN,328.0,552.0,54.0,5.0,393.0,1332
SOM,CARATUNK,14.0,34.0,2.0,0.0,16.0,66
SOM,CORNVILLE,191.0,378.0,32.0,10.0,295.0,906
SOM,DENNISTOWN PLT,4.0,15.0,1.0,0.0,7.0,27
SOM,DETROIT,106.0,197.0,44.0,3.0,185.0,535
SOM,EMBDEN,135.0,341.0,20.0,2.0,225.0,723
SOM,FAIRFIELD,952.0,1361.0,141.0,20.0,1160.0,3634
SOM,HARMONY,104.0,247.0,16.0,1.0,179.0,547
SOM,HARTLAND,212.0,541.0,41.0,11.0,244.0,1049
SOM,HIGHLAND PLT,18.0,39.0,6.0,0.0,54.0,117
SOM,JACKMAN,70.0,280.0,4.0,2.0,235.0,591
SOM,MADISON,618.0,1082.0,108.0,18.0,795.0,2621
SOM,MERCER,125.0,200.0,24.0,4.0,178.0,531
SOM,MOOSE RIVER,7.0,90.0,3.0,1.0,31.0,132
SOM,MOSCOW,67.0,141.0,18.0,0.0,88.0,314
SOM,NEW PORTLAND,126.0,215.0,47.0,6.0,193.0,587
SOM,NORRIDGEWOCK,493.0,874.0,86.0,3.0,593.0,2049
SOM,PALMYRA,212.0,644.0,42.0,5.0,344.0,1247
SOM,PITTSFIELD,499.0,920.0,86.0,17.0,649.0,2171
