county,municipality,dem_registered,rep_registered,green_registered,lib_registered,unenrolled_registered,total_registered,dem_2018_ballots,rep_2018_ballots,dem_registered_2017,rep_registered_2017,dem_turnout_2018_pct,rep_turnout_2018_pct,dem_eligible_2026,rep_eligible_2026
FRA,SANDY RIVER PLT,40.0,40.0,2.0,1.0,38.0,121,19,18,34.0,33.0,55.88,54.55,78.0,78.0
FRA,STRONG,190.0,432.0,26.0,2.0,277.0,927,71,159,237.0,408.0,29.96,38.97,467.0,709.0
FRA,TEMPLE,129.0,123.0,9.0,0.0,94.0,355,64,47,159.0,125.0,40.25,37.6,223.0,217.0
FRA,WELD,97.0,129.0,10.0,2.0,105.0,343,52,65,108.0,126.0,48.15,51.59,202.0,234.0
FRA,WILTON,650.0,880.0,82.0,9.0,768.0,2389,311,361,770.0,915.0,40.39,39.45,1418.0,1648.0
HAN,AMHERST,48.0,112.0,8.0,1.0,49.0,218,26,36,56.0,82.0,46.43,43.9,97.0,161.0
HAN,AURORA,14.0,38.0,4.0,1.0,30.0,87,5,20,15.0,45.0,33.33,44.44,44.0,68.0
HAN,BAR HARBOR,2023.0,693.0,89.0,16.0,1245.0,4066,1019,309,1920.0,844.0,53.07,36.61,3268.0,1938.0
HAN,BLUE HILL,1105.0,491.0,62.0,8.0,665.0,2331,532,188,989.0,595.0,53.79,31.6,1770.0,1156.0
HAN,BROOKLIN,331.0,139.0,24.0,2.0,200.0,696,174,73,275.0,183.0,63.27,39.89,531.0,339.0
HAN,BROOKSVILLE,342.0,169.0,46.0,0.0,197.0,754,191,81,315.0,201.0,60.63,40.3,539.0,366.0
HAN,BUCKSPORT,895.0,1120.0,90.0,13.0,1063.0,3181,331,356,1033.0,1135.0,32.04,31.37,1958.0,2183.0
HAN,CASTINE,298.0,119.0,11.0,5.0,197.0,630,143,73,311.0,331.0,45.98,22.05,495.0,316.0
HAN,CRANBERRY ISLES,65.0,19.0,3.0,0.0,62.0,149,36,19,67.0,41.0,53.73,46.34,127.0,81.0
HAN,DEDHAM,329.0,461.0,60.0,4.0,416.0,1270,158,182,350.0,488.0,45.14,37.3,745.0,877.0
HAN,DEER ISLE,604.0,368.0,35.0,2.0,456.0,1465,300,149,584.0,384.0,51.37,38.8,1060.0,824.0
HAN,EASTBROOK,51.0,150.0,15.0,2.0,81.0,299,14,35,75.0,129.0,18.67,27.13,132.0,231.0
HAN,ELLSWORTH,1623.0,2052.0,190.0,34.0,1653.0,5552,611,725,1533.0,2179.0,39.86,33.27,3276.0,3705.0
HAN,FRANKLIN,288.0,405.0,49.0,4.0,307.0,1053,110,143,270.0,393.0,40.74,36.39,595.0,712.0
HAN,FRENCHBORO,10.0,13.0,1.0,0.0,12.0,36,5,3,13.0,11.0,38.46,27.27,22.0,25.0
HAN,GOULDSBORO,358.0,495.0,46.0,4.0,354.0,1257,188,208,384.0,532.0,48.96,39.1,712.0,849.0
HAN,GREAT POND,11.0,15.0,2.0,0.0,16.0,44,6,11,9.0,16.0,66.67,68.75,27.0,31.0
HAN,HANCOCK,429.0,688.0,80.0,11.0,482.0,1690,212,212,424.0,665.0,50.0,31.88,911.0,1170.0
HAN,LAMOINE,424.0,448.0,43.0,4.0,385.0,1304,230,209,400.0,534.0,57.5,39.14,809.0,833.0
HAN,MARIAVILLE,88.0,154.0,7.0,1.0,129.0,379,35,56,78.0,118.0,44.87,47.46,217.0,283.0
HAN,MOUNT DESERT,775.0,304.0,30.0,8.0,426.0,1543,414,148,723.0,485.0,57.26,30.52,1201.0,730.0
HAN,ORLAND,460.0,560.0,84.0,5.0,542.0,1651,248,213,491.0,455.0,50.51,46.81,1002.0,1102.0
HAN,OSBORN,5.0,35.0,0.0,0.0,15.0,55,6,18,10.0,31.0,60.0,58.06,20.0,50.0
HAN,OTIS,105.0,255.0,27.0,1.0,160.0,548,43,95,135.0,222.0,31.85,42.79,265.0,415.0
HAN,PENOBSCOT,338.0,272.0,33.0,3.0,283.0,929,194,122,331.0,303.0,58.61,40.26,621.0,555.0
HAN,SEDGWICK,419.0,218.0,27.0,1.0,268.0,933,190,102,371.0,244.0,51.21,41.8,687.0,486.0
HAN,SORRENTO,69.0,97.0,3.0,0.0,61.0,230,48,47,109.0,91.0,44.04,51.65,130.0,158.0
HAN,SOUTHWEST HARBOR,575.0,291.0,31.0,2.0,365.0,1264,299,160,539.0,378.0,55.47,42.33,940.0,656.0
HAN,STONINGTON,286.0,154.0,24.0,1.0,255.0,720,105,57,294.0,172.0,35.71,33.14,541.0,409.0
HAN,SULLIVAN,227.0,280.0,38.0,6.0,288.0,839,100,115,223.0,267.0,44.84,43.07,515.0,568.0
HAN,SURRY,418.0,413.0,40.0,6.0,366.0,1243,246,163,434.0,428.0,56.68,38.08,784.0,779.0
HAN,SWANS ISLAND,77.0,118.0,22.0,2.0,93.0,312,34,57,64.0,126.0,53.12,45.24,170.0,211.0
HAN,TREMONT,432.0,301.0,39.0,4.0,347.0,1123,178,97,385.0,317.0,46.23,30.6,779.0,648.0
HAN,TRENTON,351.0,357.0,40.0,8.0,348.0,1104,124,136,304.0,375.0,40.79,36.27,699.0,705.0
