county,municipality,fredette,mason,mayhew,moody,blank,total_ballots
WAS,TALMADGE,0,1,1,1,1,4
WAS,TOPSFIELD,3,1,7,9,1,21
WAS,VANCEBORO,2,6,2,3,1,14
WAS,WAITE,0,0,1,5,2,8
WAS,WESLEY,1,2,0,9,0,12
WAS,WHITING,6,29,9,13,3,60
WAS,WHITNEYVILLE,1,6,1,8,1,17
YOR,ACTON,11,37,27,160,26,261
YOR,ALFRED,12,36,24,163,52,287
YOR,ARUNDEL,7,41,42,214,19,323
YOR,BERWICK,18,48,62,217,26,371
YOR,BIDDEFORD,20,106,63,426,33,648
YOR,BUXTON,12,66,45,681,28,832
YOR,CORNISH,5,20,9,97,3,134
YOR,DAYTON,7,26,7,162,13,215
YOR,ELIOT,43,82,80,284,75,564
YOR,HOLLIS,17,38,19,411,17,502
YOR,KENNEBUNK,49,134,175,618,91,1067
YOR,KENNEBUNKPORT,30,38,105,219,25,417
YOR,KITTERY,26,62,72,231,37,428
YOR,LEBANON,21,78,56,227,22,404
YOR,LIMERICK,10,24,29,172,31,266
YOR,LIMINGTON,15,50,34,220,13,332
YOR,LYMAN,9,51,28,283,13,384
YOR,NEWFIELD,2,11,14,96,15,138
YOR,NORTH BERWICK,16,58,55,189,32,350
YOR,OGUNQUIT,4,17,18,70,23,132
YOR,OLD ORCHARD BEACH,27,89,61,370,26,573
YOR,PARSONSFIELD,4,15,11,111,9,150
YOR,SACO,44,170,123,670,78,1085
YOR,SANFORD,37,156,122,694,70,1079
YOR,SHAPLEIGH,2,34,32,151,13,232
YOR,SOUTH BERWICK,17,44,47,198,15,321
YOR,WATERBORO,14,81,44,400,34,573
YOR,WELLS,34,125,139,490,63,851
YOR,YORK,25,113,216,370,67,791
